group_id,group_name,assoc_techniques
 G1020 , Mustard Tempest ,"['T1583.004', 'T1047.008', 'T1584.001', 'T1189', 'T1105', 'T1036.005', 'T1566.002', 'T1608.001', 'T1105.004', 'T1105.006', 'T1082', 'T1204.001']"
 G0019 , Naikon ,"['T1547.001', 'T1574.002', 'T1036.004', 'T1082.005', 'T1046', 'T1137.006', 'T1566.001', 'T1018', 'T1053.005', 'T1518.001', 'T1016', 'T1204.002', 'T1078.002', 'T1047']"
 G0055 , NEODYMIUM ,[]
 G0133 , Nomadic Octopus ,"['T1059.001', 'T1047.003', 'T1564.003', 'T1105', 'T1036', 'T1566.001', 'T1204.002']"
 G0049 , OilRig ,"['T1087.001', 'T1036.002', 'T1071.001', 'T1036.004', 'T1119', 'T1110', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1555', 'T1555.003', 'T1555.004', 'T1140', 'T1573.002', 'T1048.003', 'T1133', 'T1008', 'T1070.004', 'T1105', 'T1056.001', 'T1036', 'T1046', 'T1027.005', 'T1046.013', 'T1137.004', 'T1003.001', 'T1046.004', 'T1046.005', 'T1201', 'T1120', 'T1069.001', 'T1120.002', 'T1566.001', 'T1120.002', 'T1120.003', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1012.004', 'T1053.005', 'T1113', 'T1505.003', 'T1218.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1552.001', 'T1204.001', 'T1007.002', 'T1078', 'T1497.001', 'T1047', 'T0817', 'T0853', 'T0865', 'T0869', 'T0859']"
 G0071 , Orangeworm ,"['T1071.001', 'T1021.002']"
 G0040 , Patchwork ,"['T1548.002', 'T1560', 'T1119', 'T1197', 'T1547.001', 'T1059.001', 'T1197.003', 'T1197.005', 'T1555.003', 'T1132.001', 'T1005', 'T1074.001', 'T1587.002', 'T1189', 'T1203', 'T1083', 'T1574.002', 'T1070.004', 'T1105', 'T1559.002', 'T1036.005', 'T1112', 'T1027.001', 'T1112.002', 'T1112.005', 'T1112.010', 'T1588.002', 'T1566.001', 'T1112.002', 'T1598.003', 'T1055.012', 'T1021.001', 'T1053.005', 'T1518.001', 'T1553.002', 'T1082', 'T1033', 'T1204.001', 'T1033.002', 'T1102.001']"
 G0011 , PittyTiger ,"['T1588.002', 'T1078']"
 G0068 , PLATINUM ,"['T1189', 'T1068', 'T1105', 'T1056.001', 'T1105.004', 'T1036', 'T1095', 'T1003.001', 'T1566.001', 'T1055', 'T1204.002']"
 G1040 , Play ,"['T1560.001', 'T1059.001', 'T1055.003', 'T1030', 'T1587.001', 'T1048', 'T1190', 'T1133', 'T1083', 'T1657', 'T1562.001', 'T1070.001', 'T1657.004', 'T1105', 'T1027.010', 'T1588.002', 'T1003.001', 'T1057', 'T1021.002', 'T1018', 'T1518.001', 'T1082', 'T1016', 'T1078', 'T1078.002', 'T1078.003']"
 G1005 , POLONIUM ,"['T1583.006', 'T1567.002', 'T1588.002', 'T1090', 'T1199', 'T1078', 'T1102.002']"
 G0033 , Poseidon Group ,"['T1087.001', 'T1078.002', 'T1059.001', 'T1036.005', 'T1003', 'T1057', 'T1049', 'T1007']"
 G0056 , PROMETHIUM ,"['T1547.001', 'T1543.003', 'T1587.002', 'T1007.003', 'T1189', 'T1036.004', 'T1189.005', 'T1553.002', 'T1205.001', 'T1204.002', 'T1078.003', 'T1517', 'T1437.001', 'T1532', 'T1429', 'T1456', 'T1521.001', 'T1624.001', 'T1646', 'T1420', 'T1629.003', 'T1544', 'T1430', 'T1655.001', 'T1406', 'T1636.002', 'T1406.003', 'T1406.004', 'T1418', 'T1426', 'T1421']"
 G0024 , Putter Panda ,"['T1547.001', 'T1562.001', 'T1027.013', 'T1055.001']"
 G0075 , Rancor ,"['T1071.001', 'T1059.003', 'T1421.005', 'T1546.003', 'T1105', 'T1566.001', 'T1053.005', 'T1218.007', 'T1204.002']"
 G1039 , RedCurl ,"['T1087.001', 'T1105.002', 'T1105.003', 'T1071.001', 'T1560.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1020.003', 'T1020.005', 'T1020.006', 'T1555.003', 'T1005', 'T1039', 'T1587.001', 'T1114.001', 'T1573.001', 'T1039.002', 'T1083', 'T1564.001', 'T1070.004', 'T1202', 'T1056.002', 'T1036.005', 'T1046', 'T1027', 'T1003.001', 'T1566.001', 'T1027.002', 'T1053.005', 'T1218.011', 'T1082', 'T1080', 'T1537', 'T1199', 'T1552.001', 'T1199.002', 'T1204.001', 'T1199.002', 'T1102']"
 G0106 , Rocke ,"['T1071', 'T1071.001', 'T1547.001', 'T1037', 'T1059.004', 'T1037.006', 'T1543.002', 'T1140', 'T1190', 'T1222.002', 'T1564.001', 'T1574.006', 'T1562.001', 'T1190.004', 'T1070.002', 'T1190.004', 'T1190.006', 'T1105', 'T1036.005', 'T1046', 'T1571', 'T1027', 'T1027.002', 'T1027.004', 'T1057', 'T1055.002', 'T1021.004', 'T1018', 'T1496.001', 'T1014', 'T1053.003', 'T1518.001', 'T1082', 'T1552.004', 'T1102', 'T1102.001']"
 G0048 , RTM ,"['T1547.001', 'T1189', 'T1574.001', 'T1566.001', 'T1219', 'T1204.002', 'T1102.001']"
 G1031 , Saint Bear ,"['T1583.006', 'T1059', 'T1059.001', 'T1059.003', 'T1059.007', 'T1203', 'T1589.002', 'T1562.001', 'T1656', 'T1112', 'T1027.002', 'T1112.013', 'T1566.001', 'T1608.001', 'T1553.002', 'T1204.001', 'T1112.002', 'T1497']"
 G0034 , Sandworm Team ,"['T1087.002', 'T1497.003', 'T1098', 'T1583', 'T1583.001', 'T1583.004', 'T1595.002', 'T1071.001', 'T1110', 'T1059.001', 'T1110.003', 'T1110.005', 'T1586.001', 'T1554', 'T1584.004', 'T1554.005', 'T1136.002', 'T1543.002', 'T1554.003', 'T1555.003', 'T1485', 'T1132.001', 'T1486', 'T1213', 'T1005', 'T1491.002', 'T1140', 'T1587.001', 'T1561.002', 'T1484.001', 'T1499', 'T1585.001', 'T1499.002', 'T1041', 'T1190', 'T1203', 'T1133', 'T1083', 'T1592.002', 'T1589.002', 'T1083.003', 'T1590.001', 'T1591.002', 'T1562.001', 'T1083.002', 'T1070.004', 'T1105', 'T1490', 'T1056.001', 'T1570', 'T1036', 'T1036.004', 'T1036.005', 'T1036.008', 'T1036.010', 'T1112', 'T1106', 'T1040', 'T1095', 'T1571', 'T1027', 'T1027.002', 'T1027.010', 'T1588.002', 'T1027.006', 'T1003.001', 'T1027.003', 'T1566.001', 'T1027.002', 'T1598.003', 'T1055', 'T1572', 'T1090', 'T1219', 'T1021.002', 'T1018', 'T1053.005', 'T1593', 'T1594', 'T1505.001', 'T1594.003', 'T1489', 'T1072', 'T1608.001', 'T1539', 'T1195', 'T1195.002', 'T1218.011', 'T1082', 'T1049', 'T1033', 'T1199', 'T1204.001', 'T1199.002', 'T1078', 'T1078.002', 'T1102.002', 'T1047', 'T1660', 'T1409', 'T0895', 'T0803', 'T0804', 'T0805', 'T0807', 'T0885', 'T0884', 'T0813', 'T0814', 'T0816', 'T0819', 'T0822', 'T0823', 'T0867', 'T0826', 'T0827', 'T0828', 'T0831', 'T0849', 'T0886', 'T0846', 'T0853', 'T0894', 'T0857', 'T0855', 'T0859']"
 G0029 , Scarlet Mimic ,['T1036.002']
 G1015 , Scattered Spider ,"['T1087.002', 'T0859.003', 'T0859.004', 'T1098.001', 'T0859.003', 'T0859.005', 'T1217', 'T1580', 'T1538', 'T1136', 'T1486', 'T1530', 'T1213.002', 'T1530.003', 'T1530.005', 'T1074', 'T1006', 'T1484.002', 'T1114', 'T1567.002', 'T1190', 'T1068', 'T1133', 'T1083', 'T1657', 'T1589.001', 'T1564.008', 'T1656', 'T1105', 'T1556.006', 'T1105.009', 'T1578.002', 'T1621', 'T1046', 'T1588.002', 'T1003.003', 'T1046.006', 'T1069.003', 'T1566.004', 'T1598', 'T1598.001', 'T1598.004', 'T1572', 'T1090', 'T1219', 'T1021.007', 'T1018', 'T1539', 'T1553.002', 'T1552.001', 'T1539.004', 'T1204', 'T1078.004', 'T1102', 'T1047', 'T1660']"
 G1008 , SideCopy ,"['T1059.005', 'T1584.001', 'T1574.002', 'T1105', 'T1036.005', 'T1106', 'T1566.001', 'T1598.002', 'T1518', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1614', 'T1016', 'T1204.002']"
 G0121 , Sidewinder ,"['T1071.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1020.005', 'T1020.007', 'T1074.001', 'T1203', 'T1083', 'T1574.002', 'T1105', 'T1559.002', 'T1036.005', 'T1027.010', 'T1105.013', 'T1566.001', 'T1105.002', 'T1598.002', 'T1105.003', 'T1057', 'T1518', 'T1518.001', 'T1218.005', 'T1082', 'T1016', 'T1033', 'T1124', 'T1204.001', 'T1124.002']"
 G0091 , Silence ,"['T1547.001', 'T1059.001', 'T1124.003', 'T1124.005', 'T1124.007', 'T1070.004', 'T1105', 'T1036.005', 'T1112', 'T1106', 'T1571', 'T1027.010', 'T1588.002', 'T1003.001', 'T1566.001', 'T1055', 'T1090.002', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1072', 'T1553.002', 'T1218.001', 'T1569.002', 'T1204.002', 'T1078', 'T1125']"
 G0122 , Silent Librarian ,"['T1583.001', 'T1110.003', 'T1114', 'T1114.003', 'T1585.002', 'T1589.002', 'T1114.003', 'T1588.002', 'T1114.004', 'T1598.003', 'T1594', 'T1608.005', 'T1078']"
 G0083 , SilverTerrier ,"['T1071.001', 'T1078.002', 'T1078.003', 'T1657']"
 G0054 , Sowbug ,"['T1560.001', 'T1059.003', 'T1039', 'T1083', 'T1056.001', 'T1036.005', 'T1135', 'T1003', 'T1082']"
 G1033 , Star Blizzard ,"['T1583', 'T1583.001', 'T1059.007', 'T1586.002', 'T1114.002', 'T1583.003', 'T1585.001', 'T1583.002', 'T1589', 'T1588.002', 'T1566.001', 'T1598.002', 'T1589.003', 'T1593', 'T1608.001', 'T1539', 'T1550.004', 'T1204.002', 'T1078']"
 G0038 , Stealth Falcon ,"['T1071.001', 'T1059', 'T1059.001', 'T1555', 'T1555.003', 'T1555.004', 'T1005', 'T1573.001', 'T1041', 'T1057', 'T1012', 'T1053.005', 'T1082', 'T1016', 'T1033', 'T1047']"
 G0041 , Strider ,"['T1564.005', 'T1556.002', 'T1090.001']"
 G0039 , Suckfly ,"['T1059.003', 'T1046', 'T1003', 'T1553.002', 'T1078']"
 G1018 , TA2541 ,"['T1583.001', 'T1078.006', 'T1547.001', 'T1059.001', 'T1078.005', 'T1568', 'T1573.002', 'T1562.001', 'T1105', 'T1036.005', 'T1027.002', 'T1105.013', 'T1588.001', 'T1105.002', 'T1566.001', 'T1105.002', 'T1055', 'T1055.012', 'T1053.005', 'T1518.001', 'T1608.001', 'T1218.005', 'T1082', 'T1016.001', 'T1204.001', 'T1082.002', 'T1047']"
 G0062 , TA459 ,"['T1059.001', 'T1047.005', 'T1203', 'T1566.001', 'T1204.002']"
 G0092 , TA505 ,"['T1087.003', 'T1583.001', 'T1071.001', 'T1059.001', 'T1203.003', 'T1203.005', 'T1203.007', 'T1555.003', 'T1486', 'T1140', 'T1568.001', 'T1562.001', 'T1105', 'T1559.002', 'T1112', 'T1106', 'T1027.002', 'T1106.010', 'T1106.013', 'T1588.001', 'T1106.002', 'T1069', 'T1566.001', 'T1069.002', 'T1055.001', 'T1608.001', 'T1553.002', 'T1069.005', 'T1218.007', 'T1069.011', 'T1552.001', 'T1204.001', 'T1069.002', 'T1078.002']"
 G0127 , TA551 ,"['T1071.001', 'T1059.003', 'T1132.001', 'T1568.002', 'T1589.002', 'T1105', 'T1036', 'T1027.003', 'T1036.010', 'T1566.001', 'T1218.005', 'T1036.010', 'T1036.011', 'T1204.002']"
 G1037 , TA577 ,"['T1059.003', 'T1036.007', 'T1586.002', 'T1027.009', 'T1566.002', 'T1204.001']"
 G1038 , TA578 ,"['T1583.006', 'T1059.007', 'T1594', 'T1204.001']"
 G0139 , TeamTNT ,"['T1098.004', 'T1583.001', 'T1595.001', 'T1594.002', 'T1071', 'T1071.001', 'T1547.001', 'T1059.001', 'T1071.003', 'T1071.004', 'T1071.009', 'T1609', 'T1613', 'T1136.001', 'T1543.002', 'T1613.003', 'T1074.001', 'T1140', 'T1610', 'T1587.001', 'T1611', 'T1048', 'T1133', 'T1083', 'T1222.002', 'T1562.001', 'T1083.004', 'T1070.002', 'T1083.003', 'T1083.004', 'T1105', 'T1036', 'T1036.005', 'T1046', 'T1027.002', 'T1046.013', 'T1120', 'T1057', 'T1219', 'T1021.004', 'T1496.001', 'T1014', 'T1518.001', 'T1608.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1569', 'T1552.001', 'T1569.004', 'T1569.005', 'T1204.003', 'T1102']"
 G0088 , TEMP.Veles ,"['T1583.003', 'T1595', 'T1059.001', 'T1074.001', 'T1587.001', 'T1573', 'T1546.012', 'T1133', 'T1070.004', 'T1133.006', 'T1056.003', 'T1036.005', 'T1571', 'T1027.005', 'T1588.002', 'T1003.001', 'T1572', 'T1021.001', 'T1572.004', 'T1053.005', 'T1505.003', 'T1078', 'T0830', 'T0807', 'T0817', 'T0872', 'T0867', 'T0828', 'T0843', 'T0886', 'T0853', 'T0862', 'T0855', 'T0859']"
 G0089 , The White Company ,"['T1203', 'T1070.004', 'T1027.002', 'T1566.001', 'T1518.001', 'T1124', 'T1204.002']"
 G0028 , Threat Group-1314 ,"['T1059.003', 'T1021.002', 'T1072', 'T1078.002']"
 G0027 , Threat Group-3390 ,"['T1548.002', 'T1087.001', 'T1583.001', 'T1071.001', 'T1560.002', 'T1119', 'T1547.001', 'T1059.001', 'T1119.003', 'T1543.003', 'T1555.005', 'T1005', 'T1074.001', 'T1005.002', 'T1030', 'T1140', 'T1189', 'T1567.002', 'T1190', 'T1203', 'T1068', 'T1210', 'T1133', 'T1574.001', 'T1133.002', 'T1562.002', 'T1070.004', 'T1133.005', 'T1105', 'T1056.001', 'T1112', 'T1046', 'T1027.002', 'T1046.013', 'T1588.002', 'T1046.003', 'T1003.001', 'T1046.002', 'T1046.004', 'T1566.001', 'T1055.012', 'T1012', 'T1021.006', 'T1018', 'T1053.002', 'T1505.003', 'T1608.001', 'T1018.002', 'T1018.004', 'T1195.002', 'T1016', 'T1049', 'T1033', 'T1199', 'T1204.002', 'T1078', 'T1047']"
 G0076 , Thrip ,"['T1059.001', 'T1048.003', 'T1588.002', 'T1219']"
 G1022 , ToddyCat ,"['T1087.002', 'T1560.001', 'T1059.001', 'T1219.003', 'T1005', 'T1074.002', 'T1567.002', 'T1190', 'T1083', 'T1564.003', 'T1562.004', 'T1036.005', 'T1106', 'T1095', 'T1069.002', 'T1566.003', 'T1057', 'T1021.002', 'T1018', 'T1053.005', 'T1518.001', 'T1082', 'T1049', 'T1078.002', 'T1047']"
 G0131 , Tonto Team ,"['T1059.001', 'T1047.006', 'T1203', 'T1068', 'T1210', 'T1574.001', 'T1105', 'T1056.001', 'T1135', 'T1003', 'T1069.001', 'T1566.001', 'T1090.002', 'T1505.003', 'T1204.002']"
 G0134 , Transparent Tribe ,"['T1583.001', 'T1059.005', 'T1584.001', 'T1587.003', 'T1189', 'T1568', 'T1203', 'T1564.001', 'T1036.005', 'T1027.013', 'T1566.001', 'T1203.002', 'T1608.001', 'T1203.004', 'T1204.001', 'T1203.002']"
 G0081 , Tropic Trooper ,"['T1071.001', 'T1203.004', 'T1119', 'T1020', 'T1547.001', 'T1020.004', 'T1059.003', 'T1543.003', 'T1132.001', 'T1140', 'T1573', 'T1573.002', 'T1052.001', 'T1203', 'T1083', 'T1564.001', 'T1574.002', 'T1070.004', 'T1105', 'T1036.005', 'T1106', 'T1046', 'T1135', 'T1027.003', 'T1135.013', 'T1566.001', 'T1057', 'T1055.001', 'T1091', 'T1505.003', 'T1518', 'T1518.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1221', 'T1204.002', 'T1078.003']"
 G0010 , Turla ,"['T1134.002', 'T1087.001', 'T1221.002', 'T1583.006', 'T1071.001', 'T1221.003', 'T1560.001', 'T1547.001', 'T1221.004', 'T1110', 'T1059.001', 'T1110.003', 'T1110.005', 'T1110.006', 'T1110.007', 'T1584.003', 'T1110.004', 'T1110.006', 'T1555.004', 'T1213', 'T1005', 'T1025', 'T1140', 'T1587.001', 'T1189', 'T1546.003', 'T1189.013', 'T1567.002', 'T1068', 'T1083', 'T1615', 'T1564.012', 'T1562.001', 'T1105', 'T1570', 'T1036.005', 'T1112', 'T1106', 'T1027.005', 'T1106.010', 'T1106.011', 'T1588.001', 'T1106.002', 'T1201', 'T1120', 'T1069.001', 'T1120.002', 'T1566.002', 'T1057', 'T1055', 'T1055.001', 'T1090', 'T1090.001', 'T1012', 'T1021.002', 'T1018', 'T1518.001', 'T1553.006', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1007', 'T1124', 'T1204.001', 'T1078.003', 'T1102', 'T1102.002']"
 G1029 , UNC788 ,['T1660']
 G0123 , Volatile Cedar ,"['T1595.002', 'T1660.003', 'T1190', 'T1105', 'T1505.003']"
 G1017 , Volt Typhoon ,"['T1087.001', 'T1105.002', 'T1583.003', 'T1071.001', 'T1010', 'T1560.001', 'T1217', 'T1059.001', 'T1217.003', 'T1217.004', 'T1584.003', 'T1217.004', 'T1217.005', 'T1217.008', 'T1555', 'T1555.003', 'T1005', 'T1074', 'T1074.001', 'T1587.001', 'T1074.004', 'T1006', 'T1573.001', 'T1006.002', 'T1546', 'T1190', 'T1068', 'T1133', 'T1083', 'T1222.002', 'T1592', 'T1589', 'T1589.002', 'T1590', 'T1590.004', 'T1590.006', 'T1591', 'T1591.004', 'T1562.001', 'T1070.001', 'T1591.004', 'T1591.007', 'T1105', 'T1056.001', 'T1570', 'T1654', 'T1036.004', 'T1654.005', 'T1654.008', 'T1112', 'T1046', 'T1095', 'T1571', 'T1027.002', 'T1588.002', 'T1571.006', 'T1003.001', 'T1571.003', 'T1120', 'T1069', 'T1069.001', 'T1069.002', 'T1057', 'T1055.009', 'T1090', 'T1090.001', 'T1090.003', 'T1012', 'T1021.001', 'T1018', 'T1113', 'T1596.005', 'T1593', 'T1594', 'T1505.003', 'T1518', 'T1518.001', 'T1218', 'T1082', 'T1614', 'T1016', 'T1016.001', 'T1049', 'T1033', 'T1007', 'T1124', 'T1552', 'T1552.004', 'T1078', 'T1078.002', 'T1497.001', 'T1047']"
 G0107 , Whitefly ,"['T1059', 'T1068', 'T1574.001', 'T1105', 'T1036.005', 'T1027.013', 'T1588.002', 'T1003.001', 'T1204.002']"
 G0124 , Windigo ,"['T1059', 'T1005', 'T1189', 'T1083', 'T1090', 'T1518', 'T1082']"
 G0112 , Windshift ,"['T1071.001', 'T1547.001', 'T1059.005', 'T1189', 'T1105', 'T1036', 'T1036.001', 'T1027', 'T1566.001', 'T1027.002', 'T1027.003', 'T1057', 'T1518', 'T1518.001', 'T1082', 'T1033', 'T1204.001', 'T1033.002', 'T1047', 'T1429', 'T1533', 'T1407', 'T1521.001', 'T1627.001', 'T1420', 'T1628.003', 'T1417.001', 'T1430', 'T1406', 'T1636.003', 'T1406.004', 'T1632.001', 'T1426', 'T1512', 'T1633.001']"
 G0044 , Winnti Group ,"['T1583.001', 'T1083', 'T1105', 'T1057', 'T1014', 'T1553.002']"
 G1035 , Winter Vivern ,"['T1583.001', 'T1014.003', 'T1595.002', 'T1071.001', 'T1119', 'T1020', 'T1059', 'T1059.001', 'T1059.003', 'T1059.007', 'T1584.006', 'T1140', 'T1189', 'T1114.001', 'T1041', 'T1190', 'T1083', 'T1105', 'T1056.003', 'T1036', 'T1036.004', 'T1566.001', 'T1053.005', 'T1113', 'T1082', 'T1033', 'T1204.001']"
 G0090 , WIRTE ,"['T1071.001', 'T1059.001', 'T1033.005', 'T1140', 'T1105', 'T1036.005', 'T1571', 'T1588.002', 'T1566.001', 'T1218.010', 'T1204.002']"
 G0102 , Wizard Spider ,"['T1087.002', 'T1557.001', 'T1071.001', 'T1560.001', 'T1197', 'T1547.001', 'T1197.004', 'T1059.001', 'T1197.003', 'T1136.001', 'T1197.002', 'T1543.003', 'T1555.004', 'T1005', 'T1074', 'T1074.001', 'T1585.002', 'T1048.003', 'T1041', 'T1567.002', 'T1210', 'T1133', 'T1222.001', 'T1562.001', 'T1070.004', 'T1105', 'T1490', 'T1570', 'T1036.004', 'T1112', 'T1135', 'T1027.010', 'T1588.002', 'T1135.003', 'T1003.001', 'T1135.002', 'T1135.003', 'T1566.001', 'T1135.002', 'T1055', 'T1055.001', 'T1021', 'T1021.001', 'T1021.002', 'T1021.006', 'T1018', 'T1053.005', 'T1489', 'T1518', 'T1518.001', 'T1558.003', 'T1553.002', 'T1218.011', 'T1082', 'T1016', 'T1033', 'T1569.002', 'T1552.006', 'T1550.002', 'T1204.001', 'T1033.002', 'T1078', 'T1078.002', 'T1047']"
 G0128 , ZIRCONIUM ,"['T1583.001', 'T1047.006', 'T1547.001', 'T1059.003', 'T1047.006', 'T1584.008', 'T1555.003', 'T1140', 'T1573.001', 'T1041', 'T1567.002', 'T1068', 'T1105', 'T1036', 'T1036.004', 'T1027.002', 'T1566.002', 'T1598', 'T1598.003', 'T1090.003', 'T1012', 'T1218.007', 'T1082', 'T1016', 'T1033', 'T1124', 'T1204.001', 'T1102.002']"
